title	queer?	yes/all	%	tags	url
 Glancing Back 	YESSSSS	108/411	26.277372262773724	"#glancing_back,#glancing_back,bl,bl,lgbtq+,slice of life,bl,lgbtq+,slice of life,"	"https://tapas.io/series/-Glancing-Back"
Pain disguised as love 	YESSSSS	109/412	26.45631067961165	"lgbtq+,lgbtq+,drama,comedy,lgbtq+,drama,comedy,"	"https://tapas.io/series/Pain-disguised-as-love"
The Role of a Reaper 	No	109/413	26.39225181598063	"fantasy,fantasy,fantasy,"	"https://tapas.io/series/The-Role-of-a-Reaper"
Os filhos do caos 	YESSSSS	110/414	26.570048309178745	"fantasy,fantasy,lgbtq+,mystery,fantasy,lgbtq+,mystery,"	"https://tapas.io/series/Os-filhos-do-caos"
EL CANTO DEL PESCADOR 	YESSSSS	111/415	26.746987951807228	"horror,horror,romance,bl,horror,romance,bl,"	"https://tapas.io/series/EL-CANTO-DEL-PESCADOR"
Test Viet 	No	111/416	26.682692307692307	"romance,romance,fantasy,romance,fantasy,"	"https://tapas.io/series/Test-Viet"
Inpector McDuck  	No	111/417	26.618705035971225	"#mature,#humor,#mystery,#french,#geek,#english,#duck,#easter_egg,#video_game,#black_dahlia,#mature,#humor,#mystery,#french,#geek,#english,#duck,#easter_egg,#video_game,#black_dahlia,mystery,mystery,drama,comedy,mystery,drama,comedy,"	"https://tapas.io/series/Inpector-McDuck-"
Testes de Tirinhas 	No	111/418	26.555023923444978	"comedy,comedy,slice of life,comedy,slice of life,"	"https://tapas.io/series/Testes-de-Tirinhas"
Capitanes de Tapas 	No	111/419	26.49164677804296	"action,action,mystery,science fiction,action,mystery,science fiction,"	"https://tapas.io/series/Capitanes-de-Tapas"
Imelda 	No	111/420	26.42857142857143	"#love,#magic,#drama,#princess,#spanish,#witch,#espanol,#reeteling,#love,#magic,#drama,#princess,#spanish,#witch,#espanol,#reeteling,romance,romance,comedy,fantasy,romance,comedy,fantasy,"	"https://tapas.io/series/Imelda"
You Will Never Be Alone 	No	111/421	26.365795724465556	"#love,#manga,#magic,#fantasy,#drama,#mystery,#elf,#spanish,#misterio,#espanol,#love,#manga,#magic,#fantasy,#drama,#mystery,#elf,#spanish,#misterio,#espanol,fantasy,fantasy,romance,mystery,fantasy,romance,mystery,"	"https://tapas.io/series/You-Will-Never-Be-Alone_"
IGNIS 	YESSSSS	112/422	26.540284360189574	"bl,bl,romance,action,bl,romance,action,"	"https://tapas.io/series/IGNIS"
False Memory 	YESSSSS	113/423	26.713947990543733	"#monster,#grunge,#lgbt,#classic,#90s,#spooky,#haunted_house,#monster,#grunge,#lgbt,#classic,#90s,#spooky,#haunted_house,horror,horror,mystery,comedy,horror,mystery,comedy,"	"https://tapas.io/series/False-Memory"
THE LAST ONE 	No	113/424	26.650943396226417	"#action,#magic,#fantasy,#power,#war,#gods,#action,#magic,#fantasy,#power,#war,#gods,fantasy,fantasy,action,fantasy,action,"	"https://tapas.io/series/THE-LAST-ONE-"
I want a Girlfriend 	No	113/425	26.588235294117645	"comedy,comedy,romance,comedy,romance,"	"https://tapas.io/series/I-want-a-Girlfriend"
Life is Comics 	No	113/426	26.525821596244132	"#comedy,#creator,#slice_of_life,#day_in_the_life,#creating_comics,#life_is_comics,#comedy,#creator,#slice_of_life,#day_in_the_life,#creating_comics,#life_is_comics,comedy,comedy,slice of life,fantasy,comedy,slice of life,fantasy,"	"https://tapas.io/series/Life-is-Comics"
