title	queer?	yes/all	%	tags	url
The Zodiac Cult 	YESSSSS	191/507	37.67258382642998	"#romance,#horror,#mystery,#thriller,#bl,#teen,#gore,#demonic,#boylove,#boy_love,#riley_knoxwild,#the_zodiac_cult,#romance,#horror,#mystery,#thriller,#bl,#teen,#gore,#demonic,#boylove,#boy_love,#riley_knoxwild,#the_zodiac_cult,bl,bl,romance,horror,bl,romance,horror,"	"https://tapas.io/series/The-Zodiac-Cult/info"
Predatory Loan 	YESSSSS	192/508	37.79527559055118	"#vampire,#gay,#queer,#vampires,#lgbtq,#bi,#pan,#trans,#ace,#bi_characters,#dark_humor,#gay_characters,#trans_characters,#ace_characters,#horror_elements,#queer_lit,#pan_characters,#vampire,#gay,#queer,#vampires,#lgbtq,#bi,#pan,#trans,#ace,#bi_characters,#dark_humor,#gay_characters,#trans_characters,#ace_characters,#horror_elements,#queer_lit,#pan_characters,fantasy,fantasy,horror,lgbtq+,fantasy,horror,lgbtq+,"	"https://tapas.io/series/Predatory-Loan/info"
OVERDRIVE 	No	192/509	37.721021611001966	"#zero,#racing,#manhwa,#haru,#boyslove,#overdrive,#zero,#racing,#manhwa,#haru,#boyslove,#overdrive,bl,bl,romance,lgbtq+,bl,romance,lgbtq+,"	"https://tapas.io/series/OVERDRIVEZXH/info"
Senpai Addiction 	YESSSSS	193/510	37.84313725490196	"#romance,#comedy,#bl,#senpai,#kouhai,#gag_manga,#romance,#comedy,#bl,#senpai,#kouhai,#gag_manga,bl,bl,bl,"	"https://tapas.io/series/Senpai-Addiction/info"
Witchcraft 	No	193/511	37.76908023483366	"#summoning,#witch,#witches,#sorcery,#witchcraft,#spell,#spellcasting,#summoning,#witch,#witches,#sorcery,#witchcraft,#spell,#spellcasting,romance,romance,gl,lgbtq+,romance,gl,lgbtq+,"	"https://tapas.io/series/Witchcraft/info"
(BL) Lumi & Kage 	YESSSSS	194/512	37.890625	"#cute,#yaoi,#magic,#friendship,#light,#bl,#lumi,#shadow,#oni,#boyslove,#kage,#ryokai,#cute,#yaoi,#magic,#friendship,#light,#bl,#lumi,#shadow,#oni,#boyslove,#kage,#ryokai,bl,bl,romance,slice of life,bl,romance,slice of life,"	"https://tapas.io/series/BL-Lumi--Kage/info"
Quinn & Henry 	YESSSSS	195/513	38.01169590643275	"#vampire,#gay,#werewolf,#bl,#vampire,#gay,#werewolf,#bl,lgbtq+,lgbtq+,bl,fantasy,lgbtq+,bl,fantasy,"	"https://tapas.io/series/Quinn--Henry/info"
Springtime of Yuu 	YESSSSS	196/514	38.13229571984436	"#love,#romance,#shounen_ai,#bl,#soy,#the_boy_who_fell,#starfleetrambo,#hell_kitchen,#boy_love,#love,#romance,#shounen_ai,#bl,#soy,#the_boy_who_fell,#starfleetrambo,#hell_kitchen,#boy_love,lgbtq+,lgbtq+,lgbtq+,"	"https://tapas.io/series/Springtime-of-Yuuth/info"
It's Your Decision 	YESSSSS	197/515	38.25242718446602	"#love,#yaoi,#action,#drama,#comedy,#mystery,#bl,#love,#yaoi,#action,#drama,#comedy,#mystery,#bl,bl,bl,bl,"	"https://tapas.io/series/Its-Your-Decision/info"
Lisowski 	YESSSSS	198/516	38.372093023255815	"#awkward,#bl,#tall,#abuse,#lisowski,#apathetic,#awkward,#bl,#tall,#abuse,#lisowski,#apathetic,bl,bl,drama,slice of life,bl,drama,slice of life,"	"https://tapas.io/series/Lisowski/info"
Daemons 	No	198/518	38.22393822393823	"#mystery,#supernatural,#angst,#polyamory,#femdom,#slow_burn,#love_triangle,#past_and_present,#mystery,#supernatural,#angst,#polyamory,#femdom,#slow_burn,#love_triangle,#past_and_present,lgbtq+,lgbtq+,romance,drama,lgbtq+,romance,drama,"	"https://tapas.io/series/Daemons/info"
Mismatched 	YESSSSS	199/519	38.34296724470135	"#drama,#crime,#bl,#cops,#fbi,#drama,#crime,#bl,#cops,#fbi,bl,bl,romance,drama,bl,romance,drama,"	"https://tapas.io/series/Mismatched/info"
Only a Matter of Time 	YESSSSS	200/520	38.46153846153847	"#fantasy,#romance,#bl,#fantasy,#romance,#bl,bl,bl,romance,fantasy,bl,romance,fantasy,"	"https://tapas.io/series/Only-a-Matter-of-Time/info"
Crime Omens 	No	200/521	38.38771593090211	"#crime,#detective,#crime,#detective,bl,bl,drama,comedy,bl,drama,comedy,"	"https://tapas.io/series/Crime-Omens/info"
Serve Me 	YESSSSS	201/522	38.50574712643678	"#love,#cute,#romance,#drama,#boys,#hot,#knight,#bl,#castle,#prince,#lgbt,#lgbtq,#love,#cute,#romance,#drama,#boys,#hot,#knight,#bl,#castle,#prince,#lgbt,#lgbtq,bl,bl,romance,lgbtq+,bl,romance,lgbtq+,"	"https://tapas.io/series/Serve-Me/info"
